letter,question,answer
ت,حيوان برمائي مفترس يمتلك فكاً قوياً جداً وأسناناً حادة؟,تمساح
ت,دولة تقع في قارتين عاصمتها أنقرة؟,تركيا
ت,دولة آسيوية سياحية شهيرة عاصمتها بانكوك؟,تايلاند
ت,جهاز يستخدم لرؤية الكواكب والنجوم والأجرام البعيدة؟,تلسكوب
ت,مجسم يصنع من الحجر أو البرونز تخليداً لشخصية مشهورة؟,تمثال
ت,ما يوضع على رأس الملك من ذهب ومجوهرات دلالة على الحكم؟,تاج
ت,ولاية أمريكية شهيرة جداً عاصمتها أوستن؟,تكساس
ت,فاكهة صيفية مجففة تشتهر بها تركيا وتذكر غالباً مع الزيتون؟,تين
ت,المادة التي تغطي سطح الأرض الزراعية ونمشي عليها؟,تراب
ت,جهاز كهربائي أساسي في المنازل يستخدم لمشاهدة القنوات والبرامج؟,تلفاز
ت,دولة أمريكية جنوبية عاصمتها سانتياغو؟,تشيلي
ث,حيوان بري ماكر يضرب به المثل في الخداع والمراوغة؟,ثعلب
ث,زاحف سام وطويل ليس له أقدام يتحرك بالزحف؟,ثعبان
ث,حيوان ضخم وقوي يستخدم في حلبات المصارعة الإسبانية؟,ثور
ث,نبات ذو رائحة نفاذة يستخدم كعلاج ومكون أساسي في الطبخ؟,ثوم
ث,الحالة الصلبة للماء عندما ينخفض تحت درجة الصفر؟,ثلج
ث,فوز الفريق بالدوري والكأس ودوري الأبطال في موسم واحد يسمى؟,ثلاثية
ث,نجفة معلقة في السقف للإنارة تسمى باللغة العربية الفصحى؟,ثريا
ث,جهاز كهربائي أساسي يستخدم لحفظ الأطعمة وتبريدها؟,ثلاجة
ث,رقم يلي السبعة ويسبق التسعة؟,ثمانية
ث,لقب يطلق على منتخب الجزائر لكرة القدم (الـ... الصحراء)؟,ثعالب
ث,فجوة غامضة في الفضاء تبتلع الضوء وكل ما يقترب منها تسمى؟,ثقب أسود

ث,المال الكثير والممتلكات الواسعة التي يملكها الغني تسمى؟,ثروة
ث,ما يلبسه الإنسان ليستر جسده ويحميه من البرد والحر؟,ثياب
ث,حصيلة المعارف والفنون والعلوم لدى الشعوب والمجتمعات تسمى؟,ثقافة
ث,وحدة قياس الزمن الأساسية والأصغر من الدقيقة؟,ثانية
ث,جزء من ثلاثة أجزاء متساوية في الرياضيات يسمى؟,ثلث
ث,كائنات حية تتكاثر بالولادة وترضع صغارها تسمى؟,ثدييات
ج,دولة عربية تلقب ببلد المليون ونصف المليون شهيد؟,جزائر
ج,نادي إيطالي عريق يلقب بالسيدة العجوز يرتدي الأبيض والأسود؟,يوفنتوس
ج,دولة في الكاريبي يشتهر عداؤوها بالسرعة الخارقة مثل يوسين بولت؟,جامايكا
ج,أسطورة نادي ليفربول الإنجليزي اللاعب ستيفن...؟,جيرارد
ج,المركز الهجومي على الأطراف اليمنى واليسرى في كرة القدم يسمى؟,جناح
ج,نبات جذري برتقالي اللون يشتهر بأنه مفيد جداً للنظر؟,جزر
ج,حيوان صحراوي يتحمل العطش ويلقب بسفينة الصحراء؟,جمل
ج,مشتقات الحليب المتنوعة التي تؤكل عادة مع الخبز؟,جبن
ج,علم يدرس التضاريس والخرائط والمناخ والبلدان؟,جغرافيا
ج,عاصمة إندونيسيا وأكبر مدنها المزدحمة؟,جاكرتا
ج,الماء عندما يتصلب في المناطق القطبية الباردة يسمى؟,جليد

ج,القوة العسكرية المسلحة التي تدافع عن البلاد وتحمي حدودها؟,جيش
ج,مؤسسة للتعليم العالي يدرس فيها الطلاب بعد المرحلة الثانوية؟,جامعة
ج,عملية طبية تعتمد على شق الجسم بالمشرط لعلاج المرض؟,جراحة
ج,شخصية فكاهية تراثية شهيرة يرافقها حمار في القصص؟,جحا
ج,أداة تصدر صوتاً للتنبيه في المدارس أو عند أبواب البيوت؟,جرس
ج,الجزء الصلب العظمي الذي يغطي ويحمي دماغ الإنسان والحيوان؟,جمجمة
ح,اللاعب الوحيد الذي يقف لحماية المرمى ويحق له استخدام يديه؟,حارس
ح,الشخص المسؤول عن إدارة المباراة وتطبيق القوانين داخل الملعب؟,حكم
ح,دفاع مكون من عدة لاعبين لصد الركلة الحرة المباشرة يسمى؟,حائط
ح,لاعب أسطوري مصري يعتبر الهداف التاريخي لمنتخب مصر اسمه ... حسن؟,حسام
ح,مدينة سورية تعتبر من أقدم المدن المأهولة في التاريخ وتشتهر بالفستق؟,حلب
ح,حيوان أصيل وسريع يستخدم للركوب والفروسية والسباقات؟,حصان
ح,حيوان يستخدم للحمل والركوب ويعرف بقوة الصبر والتحمل؟,حمار
ح,أضخم حيوان بحري ثديي يعيش على كوكب الأرض حالياً؟,حوت
ح,معدن قوي وصلب جداً يستخدم في البناء والصناعة والسيارات؟,حديد
ح,ما يلبس في القدمين لحمايتها عند المشي والركض؟,حذاء
ح,أداة تصنع من الجلد أو القماش لحمل الكتب والأغراض الشخصية؟,حقيبة
ح,جهاز إلكتروني يعالج البيانات ويحل العمليات المعقدة بسرعة؟,حاسوب
ح,وحدة قياس الطقس بالدرجة المئوية صيفاً وشتاءً؟,حرارة
ح,سائل ملون يستخدم داخل الأقلام والطابعات للكتابة؟,حبر
ح,مكان عام مزروع بالأشجار والزهور للترفيه والتنزه؟,حديقة
ح,طائر وديع يرمز للسلام عالمياً ويحمل غصن الزيتون؟,حمامة
ح,اشتعال النيران المدمر في الغابات والمباني والممتلكات يسمى؟,حريق
ح,منطقة جغرافية وتاريخية في السعودية تضم مكة المكرمة والمدينة المنورة؟,حجاز
خ,نادي إسباني يلعب في ضواحي مدريد واسمه يبدأ بحرف الخاء؟,خيتافي
خ,مخالفة يرتكبها اللاعب ضد الخصم وتمنح الفريق الآخر ركلة؟,خطأ
خ,التوزيع التكتيكي للاعبين في الملعب مثل (4-4-2) يسمى؟,خطة
خ,مغادرة الفريق للبطولة نهائياً بعد خسارته تسمى خروج الـ...؟,مغلوب
خ,طائر ثديي غريب ينام مقلوباً ويطير بحثاً عن طعامه ليلاً؟,خفاش
خ,حيوان يربى للاستفادة من لحمه وصوفه وحليبه ويذبح في العيد؟,خروف
خ,حيوان ضخم يمتلك قرناً واحداً على أنفه ويسمى وحيد القرن؟,خرتيت
خ,مادة صلبة تستخرج من جذوع الأشجار وتستخدم لصناعة الأثاث والورق؟,خشب
خ,حلي دائري يلبس في أصبع اليد للزينة أو دلالة على الزواج؟,خاتم
خ,رسم ورقي أو رقمي يوضح تضاريس الأرض والدول والحدود؟,خريطة
خ,عاصمة دولة السودان العربية وتلتقي فيها مياه النيلين؟,خرطوم
خ,غذاء أساسي يصنع من الدقيق والماء ويخبز بالفرن؟,خبز
خ,نبات أخضر مائي طويل يؤكل طازجاً أو يضاف للسلطة؟,خيار
خ,فاكهة صيفية ناعمة الملمس ذات نواة كبيرة طعمها حلو؟,خوخ
خ,نبات ذو بذور صغيرة تستخدم كبهار أصفر حار يوضع مع الشطائر؟,خردل
خ,الفصل الذي يسبق الشتاء وتتساقط فيه أوراق الأشجار؟,خريف
خ,مسكن مؤقت يصنع من القماش والوبر يضرب في الصحراء للرحلات؟,خيمة
خ,امتداد مائي داخل اليابسة مثل المكسيك أو العربي؟,خليج
د,خط الفريق الذي يقف في الخلف لحماية المرمى من هجمات الخصم؟,دفاع

د,نادي ألماني عريق يشتهر باللونين الأصفر والأسود وملعبه سيغنال إيدونا؟,دورتموند
د,دولة أوروبية فازت ببطولة أمم أوروبا 1992 بمعجزة كروية؟,دنمارك
د,مدة الشوط الواحد في مباراة كرة القدم الرسمية هي 45...؟,دقيقة
د,المكان الذي يجلس عليه اللاعبون البدلاء والمدرب خارج خط الملعب؟,دكة
د,عاصمة سوريا وأقدم عاصمة مأهولة باستمرار في العالم؟,دمشق
د,حيوان بحري ذكي جداً ومرح يعتبر صديقاً مقرباً للإنسان؟,دولفين
د,زواحف عملاقة مرعبة انقرضت من الأرض منذ ملايين السنين؟,ديناصور
د,حيوان مفترس وضخم يعيش في الغابات والمناطق القطبية ويحب العسل؟,دب
د,طائر داجن لا يطير بعيداً يربى للاستفادة من بيضه ولحمه؟,دجاجة
د,وسيلة نقل تعتمد على التوازن وتتحرك بدواستين للقدمين؟,دراجة
د,سائل أحمر اللون يجري في عروق الإنسان والحيوان ليمنحه الحياة؟,دم
د,سائل مالح يفرز من العين عند البكاء الشديد أو الحزن؟,دموع
د,العضو الرئيسي في الجهاز العصبي داخل الجمجمة ومركز التفكير؟,دماغ

د,غازات متصاعدة مرئية ناتجة عن احتراق الأشياء والنار؟,دخان
د,العملة الرسمية المتداولة في الولايات المتحدة الأمريكية؟,دولار
ذ,حيوان مفترس يشبه الكلب يعيش في قطعان ويعوي في الليل؟,ذئب
ذ,حبوب زراعية صفراء لذيذة تستخدم في صناعة الفشار؟,ذرة
ذ,معدن نفيس أصفر اللون لا يصدأ ويستخدم في صناعة الحلي الثمينة؟,ذهب
ذ,حشرة مزعجة تطير وتنتشر في الصيف بكثرة وتنقل الأمراض؟,ذبابة
ذ,قدرة العقل على الفهم والاستيعاب والتحليل السريع تسمى؟,ذكاء
ذ,الجزء الخلفي المتدلي من جسم بعض الحيوانات كالقطط والكلاب؟,ذيل
ذ,جزء من جسم الإنسان يمتد من الكتف إلى الكف؟,ذراع
ذ,قدرة الدماغ البشري على تخزين واسترجاع المعلومات السابقة؟,ذاكرة
ذ,إحدى الحواس الخمس في اللسان نميز بها الأطعمة حلوة أو مالحة؟,ذوق
ذ,الجزء السفلي البارز من الوجه تحت الفم مباشرة؟,ذقن
ذ,حالة من الخوف الشديد والهلع المفاجئ تسمى باللغة العربية؟,ذعر
ذ,عدد الدورات في الثانية للموجات الصوتية وتسمى تردد أو؟,ذبذبة
ذ,معركة بحرية شهيرة في التاريخ الإسلامي تسمى موقعة ذات الـ...؟,صواري
ذ,محافظة عراقية شهيرة تاريخياً حدثت فيها معركة مشهورة؟,ذي قار
ذ,مدينة يمنية عريقة تقع جنوب العاصمة صنعاء؟,ذمار
ذ,سيف الإمام علي بن أبي طالب الشهير ذو الرأسين يسمى؟,ذو الفقار
ذ,أصغر جزء دقيق في المادة يحتفظ بخصائصها الكيميائية؟,ذرة

ر,نادي إسباني يلقب بالملكي وهو الأكثر تتويجاً بدوري أبطال أوروبا؟,ريال مدريد
ر,لاعب برتغالي أسطوري يحمل الرقم 7 وهداف تاريخي؟,رونالدو
ر,نادي إيطالي يحمل نفس اسم العاصمة الإيطالية العريقة؟,روما
ر,ضربة ثابتة في كرة القدم تنفذ من زوايا الملعب الأربع؟,ركنية
ر,تسديد الكرة بالرأس في شباك الخصم لتسجيل هدف تسمى؟,رأسية
ر,أكبر دولة في العالم من حيث المساحة الجغرافية؟,روسيا
ر,مدينة عربية هي عاصمة المملكة العربية السعودية؟,رياض
ر,فاكهة خريفية ذكرت في القرآن الكريم بذورها حمراء كالياقوت؟,رمان
ر,عضو في جسم الإنسان يقع في الصدر وهو المسؤول عن التنفس؟,رئة
ر,جهاز يستخدم الموجات لمعرفة سرعة السيارات ومواقع الطائرات والسفن؟,رادار
ر,سلاح قديم مكون من عصا طويلة نهايتها معدنية حادة للطعن؟,رمح
ر,ما يغطي جسم الطيور ويساعدها على الطيران والدفء؟,ريشة
ر,معدن ثقيل وسام يستخدم في صناعة الذخيرة وبطاريات السيارات؟,رصاص
ر,حبيبات صغيرة جداً تغطي الصحاري الشاسعة وشواطئ البحار؟,رمل
ر,ما يتبقى من المواد الصلبة بعد احتراقها تماماً في النار؟,رماد
ر,التل المرتفع قليلاً عن الأرض المستوية يسمى؟,ربوة
ر,نص مكتوب يرسل لشخص للتواصل معه ورقياً أو إلكترونياً؟,رسالة
ر,مفصل قوي يربط بين الفخذ والساق في قدم الإنسان؟,ركبة
ز,أسطورة فرنسا ومدرب ريال مدريد التاريخي زين الدين؟,زيدان
ز,دولة إفريقية حققت مفاجأة وفازت بكأس أمم إفريقيا 2012؟,زامبيا
ز,نادي مصري عريق يرتدي اللون الأبيض بخطين حمر غريمه الأهلي؟,زمالك
ز,منطقة التقاء خطي الطول والعرض في الملعب عند نقطة الركنية؟,زاوية
ز,تدخل انزلاقي من المدافع على الأرض لقطع الكرة من الخصم يسمى؟,زحليقة
ز,حيوان إفريقي يتميز برقبته الطويلة جداً وأرجله النحيفة؟,زرافة
ز,كوكب في المجموعة الشمسية يشتهر بحلقاته المضيئة والضخمة؟,زحل
ز,معدن سائل فضي اللون في درجة الحرارة العادية يستخدم في موازين الحرارة؟,زئبق
ز,حجر كريم ثمين ونفيس يتميز بلونه الأخضر الشفاف؟,زمرد
ز,اهتزاز مفاجئ وعنيف لقشرة الأرض يسبب دماراً في المباني؟,زلزال
ز,شجرة مباركة يستخرج منها زيت شهير ومفيد جداً؟,زيتون
ز,مادة شفافة صلبة وهشة تصنع منها النوافذ والأكواب؟,زجاج
ز,نباتات ملونة ذات رائحة عطرة ترمز للجمال وتستخدم في الهدايا؟,زهور
ز,مادة دهنية صفراء تستخرج من الحليب وتستخدم في الطبخ والحلويات؟,زبدة
ز,مرض فيروسي شائع يصيب الجهاز التنفسي مسبباً الرشح والعطس؟,زكام
ز,نوع من الأزهار الجميلة ذات الرائحة الفواحة تبدأ بحرف الزاي؟,زنبق
ز,حفل كبير يقام بمناسبة الزواج وتأسيس العائلة يسمى حفل؟,زفاف
ز,الشخص الذي يأتي لرؤيتك في منزلك أو مدينتك يسمى؟,زائر
س,نادي إنجليزي سماوي اللون يدربه بيب جوارديولا؟,مانشستر سيتي
س,مهاجم أورغوياني أسطوري يلقب بالعضاض ولعب لبرشلونة؟,سواريس
س,دولة إفريقية حققت كأس أمم إفريقيا 2021 بقيادة ساديو ماني؟,سنغال
س,مساحة اللعب الخضراء المستطيلة التي تقام عليها المباراة تسمى؟,ساحة
س,نادي برتغالي عريق اسمه سبورتينغ... بدأ فيه كريستيانو رونالدو؟,لشبونة
س,دولة عربية عاصمتها دمشق؟,سوريا
س,وسيلة نقل حديثة وأساسية تعتمد على محرك وأربع عجلات؟,سيارة
س,كائن بحري يتنفس بالخياشيم ومغطى بالقشور ويعيش في الماء؟,سمك
س,حيوان زاحف يضرب به المثل في البطء الشديد ويحمل درعاً فوق ظهره؟,سلحفاة
س,أداة تلبس في اليد أو تعلق على الحائط تستخدم لمعرفة الوقت؟,ساعة
س,سلاح أبيض طويل وحاد استخدم قديماً في الحروب والمبارزات؟,سيف
س,مادة بيضاء بلورية حلوة المذاق تضاف للشاي والقهوة؟,سكر

س,المنطقة التي تلتقي فيها اليابسة بمياه البحر والمحيط تسمى؟,ساحل
س,المسافة المقطوعة في وحدة الزمن المعينة تسمى بالفيزياء؟,سرعة
س,وسيلة نقل بحرية ضخمة لنقل الركاب والبضائع عبر المحيطات؟,سفينة
س,أداة حادة تستخدم للتقطيع في المطبخ ولتناول الطعام؟,سكين
س,وعاء مضفور يحمل فيه الأشياء أو ترمى فيه المهملات وتسمى سلة؟,مهملات
ش,نادي ألماني عريق لونه أزرق ملكي واسمه يبدأ بحرف الشين؟,شالكه
ش,قطعة قماش متشابكة توضع خلف المرمى لإيقاف الكرة عند التسجيل؟,شباك
ش,نصف المباراة في كرة القدم ومدته 45 دقيقة يسمى؟,شوط
ش,مدينة إنجليزية فيها أقدم نادي كرة قدم تأسس في العالم؟,شيفيلد
ش,قطعة قماش تلف على ذراع قائد الفريق لتمييزه تسمى؟,شارة
ش,النجم المركزي الملتهب الذي يمد الأرض بالحرارة والضوء نهاراً؟,شمس
ش,مدينة أمريكية شهيرة يطلق عليها لقب مدينة الرياح؟,شيكاغو
ش,أديب إنجليزي عظيم صاحب مسرحية هاملت وروميو وجولييت؟,شكسبير
ش,لعبة استراتيجية تعتمد على الذكاء تلعب على رقعة من 64 مربعاً؟,شطرنج
ش,مشروب ساخن شهير يصنع من أوراق مجففة ويقدم غالباً بعد الأكل؟,شاي
ش,نبات خشبي ضخم يمتلك جذعاً وفروعاً وأوراقاً ويوفر الظل؟,شجرة
ش,الفصل الأبرد في السنة الذي يسقط فيه المطر والثلج؟,شتاء
ش,جهاز أمني حكومي مهمته حفظ الأمن وتطبيق القانون في البلاد؟,شرطة
ش,مياه تتدفق وتسقط بقوة من مكان مرتفع في النهر إلى أسفل؟,شلال
ش,كتلة من الشمع بداخلها خيط تشتعل لتعطي إنارة بسيطة؟,شمعة
ش,ممر ممهد ومسفلت لسير السيارات والمشاة في المدن يسمى؟,شارع
ش,مؤسسة تجارية تهدف لتقديم خدمات أو منتجات لتحقيق الربح؟,شركة
ش,المادة الدهنية البيضاء التي تتواجد في لحوم الحيوانات تسمى؟,شحم
ص,أداة ينفخ فيها الحكم في فمه لإطلاق صوت حاد لإيقاف اللعب؟,صافرة
ص,المركز الأول في ترتيب جدول الدوري بين الأندية يسمى؟,صدارة
ص,دولة أوروبية عاصمتها بلغراد وبرز منها اللاعب ميتروفيتش؟,صربيا
ص,أسطورة مصر ونادي ليفربول الإنجليزي اللاعب محمد؟,صلاح
ص,نادي إيطالي في جنوى اسمه سامبدوريا... يبدأ بحرف السين للإجابة؟,سامبدوريا
ص,أكبر دولة في العالم من حيث عدد السكان سابقاً ومقر لسور عظيم؟,صين
ص,طائر جارح قوي يضرب به المثل في حدة البصر وسرعة الانقضاض؟,صقر
ص,نبات شوكي يتحمل العطش الشديد ويعيش وينمو في الصحراء؟,صبار
ص,مركبة فضائية أسطوانية تنطلق بسرعة هائلة خارج الغلاف الجوي؟,صاروخ
ص,مادة كيميائية تستخدم مع الماء للنظافة وإزالة الأوساخ والدهون؟,صابون
ص,غلاف صلب يغطي بعض الكائنات البحرية ويوجد فارغاً على الشاطئ؟,صدفة
ص,مساحة شاسعة جافة قليلة الأمطار تغطيها الكثبان الرملية؟,صحراء
ص,كتلة حجرية صلبة وقاسية من قشرة الأرض الطبيعية؟,صخرة
ص,شعر الأغنام الذي يجز ويستخدم في صناعة الملابس الشتوية الدافئة؟,صوف
ص,وعاء مكعب أو مستطيل يصنع من الخشب أو الكرتون لحفظ الأشياء؟,صندوق
ص,الفصل الأشد حرارة في السنة وتطول فيه ساعات النهار؟,صيف
ص,ما تسمعه الأذن من ذبذبات وموجات ناتجة عن اهتزاز الأجسام؟,صوت
ص,رسم أو لقطة فوتوغرافية تجسد مشهداً معيناً في إطار؟,صورة
ض,ركلة عقاب تنفذ من نقطة تبعد 11 متراً عن خط المرمى؟,ضربة جزاء
ض,أسلوب تكتيكي متقدم لمحاصرة الخصم لاستخلاص الكرة بسرعة؟,ضغط
ض,حيوان برمائي يتنقل بالقفز ويصدر صوتاً مزعجاً يسمى النقيق؟,ضفدع
ض,حيوان زاحف صحراوي يشبه السحلية الكبيرة ويشتهر في الخليج؟,ضب
ض,الأسنان الخلفية العريضة والقوية التي تستخدم لطحن ومضغ الطعام؟,ضرس
ض,حيوان مفترس يأكل الجيف ويصدر صوتاً يشبه الضحك الماكر؟,ضبع
ض,الغيوم المنخفضة الكثيفة التي تلامس الأرض وتعيق الرؤية للمسافرين؟,ضباب
ض,ما ينبعث من الشمس والمصابيح ويساعدنا على الرؤية في الظلام؟,ضوء
ض,رتبة عسكرية قيادية ومسؤولة في الجيش أو الشرطة؟,ضابط
ض,الشخص الذي تدعوه وتستقبله في بيتك وتكرمه بضيافتك؟,ضيف
ض,تعبير بالوجه وإصدار صوت يدل على الفرح والسرور لشيء مضحك؟,ضحك
ض,جانبا النهر أو الوادي اللذان يحصران المياه بينهما يطلق عليهما؟,ضفاف
ض,طريقة لجدل خصلات الشعر الطويلة لتجميله تسمى؟,ضفيرة
ض,العضو الذي يفرز الحليب في الأبقار والأغنام والماعز يسمى؟,ضرع
ض,قطعة قماش أو شاش طبي تلف حول الجرح لحمايته وإيقاف النزيف؟,ضمادة
ض,مبلغ مالي إلزامي تفرضه الدولة على السلع والممتلكات والدخل؟,ضريبة
ض,حالة انعدام القوة والطاقة والمرض في الجسم وعكس القوة تسمى؟,ضعف
ض,حيوان أليف من فصيلة الأغنام يربى للحمه وصوفه يسمى؟,ضأن
ط,بطاقة حمراء تعني إخراج اللاعب من الملعب وإكمال المباراة منقوصاً تسمى؟,طرد
ط,العاصمة اليابانية وأكبر مدن العالم من حيث التعداد السكاني؟,طوكيو
ط,وسيلة نقل جوية سريعة جداً تسافر بين الدول والقارات؟,طائرة
ط,طائر يشتهر بجمال ذيله الملون الكبير الذي يفرده كالمروحة للتباهي؟,طاووس
ط,الشخص المتخصص الذي درس الطب ويشخص ويعالج المرضى يسمى؟,طبيب
ط,نبات أحمر اللون يستخدم بكثرة في السلطات والطبخ ويعتبر من الفواكه؟,طماطم
ط,قطعة أثاث مسطحة مرفوعة على أرجل تستخدم للأكل أو العمل المكتبي؟,طاولة
ط,القدرة على بذل شغل في الفيزياء وتأتي بأشكال حركية وكهربائية وشمسية؟,طاقة
ط,تراب مختلط بالماء يشكل مادة لزجة قابلة للتشكيل قديماً للبناء؟,طين
ط,الإنسان في مراحله العمرية الأولى قبل البلوغ يسمى؟,طفل
ط,آلة موسيقية إيقاعية مجوفة يضرب عليها بالعصا أو اليد لإصدار الصوت؟,طبل
ط,وعاء دائري مسطح يوضع فيه الطعام للأكل والتقديم؟,طبق
ط,المادة السائلة الملونة التي تدهن بها الجدران والسيارات لتغيير لونها؟,طلاء
ط,ممر ممهد ومخصص لسير السيارات والمشاة للوصول للوجهات؟,طريق
ط,أن تطلب شيئاً من شخص ما بأدب أو احتياج يسمى؟,طلب
ط,المسافة من بداية الشيء إلى نهايته في اتجاه واحد وتقاس بالمتر؟,طول
ط,كائنات حية يغطيها الريش وتتكاثر بالبيض وتطير في الجو غالباً؟,طيور
ط,حالة الجو في مكان معين من حيث الحرارة والمطر خلال فترة قصيرة تسمى؟,طقس
ظ,مركز اللاعب المدافع الذي يلعب على الأطراف يمين ويسار يسمى؟,ظهير
ظ,حيوان رشيق وجميل من فصيلة الغزلان يعيش في الصحاري؟,ظبي
ظ,حالة تنعدم فيها الرؤية تماماً لغياب مصدر الضوء؟,ظلام
ظ,غلاف ورقي يطوى ويوضع بداخله الخطاب أو الرسالة لإرساله بالبريد؟,ظرف
ظ,انعكاس معتم لجسم يحجب مسار الضوء ويظهر على الأرض يسمى؟,ظل
ظ,الجزء الخلفي من جسم الإنسان الممتد من أسفل العنق إلى الخصر؟,ظهر
ظ,المادة الصلبة التي تنبت وتغطي أطراف أصابع الإنسان للوقاية؟,ظفر
ظ,حدث طبيعي أو غير اعتيادي يمكن ملاحظته ودراسته مثل الكسوف يسمى؟,ظاهرة
ظ,الشعور الشديد بالحاجة إلى شرب الماء وجفاف الحلق يسمى؟,ظمأ
ظ,الشخص الذي يسلب حقوق الآخرين ويعتدي عليهم ولا يعدل يسمى؟,ظالم
ظ,الانتصار على العدو والفوز بالشيء بعد تعب ومشقة يسمى؟,ظفر

ظ,الشيء الواضح والبين الذي يرى بالعين ولا يخفى على أحد يسمى؟,ظاهر
ظ,وقت منتصف النهار واشتداد حرارة الشمس يسمى وقت الـ؟,ظهيرة
ظ,المكان الذي تكثر فيه الأشجار وتحجب أشعة الشمس يسمى منطقة؟,ظليلة
ظ,الأشخاص الذين يتميزون بخفة الدم والفكاهة وحسن التصرف يطلق عليهم؟,ظرفاء
ظ,الشكوك والأفكار غير المؤكدة التي تدور في العقل ولا تستند ليقين تسمى؟,ظنون

ع,التمريرة العالية من الأطراف إلى داخل منطقة الجزاء للمهاجمين تسمى؟,عرضية
ع,العمود الأفقي الذي يربط القائمين الأيمن والأيسر في المرمى يسمى؟,عارضة
ع,دولة عربية يمر بها نهرا دجلة والفرات وعاصمتها بغداد؟,عراق
ع,دولة عربية خليجية عاصمتها مسقط وتتميز بطبيعتها الخلابة؟,عمان
ع,عضو الإبصار والرؤية في جسم الإنسان والحيوان؟,عين
ع,سائل حلو المذاق ومفيد جداً تنتجه النحلة من رحيق الأزهار؟,عسل
ع,طائر صغير الحجم يغرد بصوت جميل ويبني عشه على الأشجار؟,عصفور
ع,حشرة مفصلية تبني شباكاً حريرية هندسية لاصطياد فرائسها؟,عنكبوت
ع,الجزء الدائري الذي تدور عليه السيارات والآلات وتسمى كفرات وإطارات أو؟,عجلة
ع,الجزء الصلب الداخلي الأبيض الذي يشكل هيكل جسم الإنسان؟,عظم
ع,سائل يستخرج بعصر الفواكه ويعتبر مشروباً لذيذاً ومنعشاً؟,عصير
ع,النباتات الخضراء القصيرة التي تغطي أرضية الملاعب والحدائق؟,عشب
ع,الجزء المسؤول عن التفكير والوعي والتمييز في الإنسان؟,عقل
ع,الفترة الزمنية من اليوم التي تسبق غروب الشمس ويصلى فيها الفرض الثالث؟,عصر
ع,المدينة الرئيسية في الدولة ومقر الحكومة والسفارات تسمى؟,عاصمة
ع,الكوكب الذي نعيش عليه وكل ما فيه من شعوب وطبيعة يسمى؟,عالم
ع,سائل ذو رائحة طيبة يستخرج من الزهور والمواد العطرية للتعطر؟,عطر
ع,آلة موسيقية وترية شرقية شهيرة تصنع من الخشب تشبه الكمثرى؟,عود
غ,دولة إفريقية شاركت بقوة في كأس العالم 2010 بعناصرها الشابة وعاصمتها أكرا؟,غانا
غ,دولة إفريقية تقام فيها بطولات كروية وعاصمتها كوناكري؟,غينيا
غ,رياضة للطبقة المخملية تلعب بمضرب وكرة صغيرة على مساحات عشبية واسعة وحفر؟,غولف
غ,طائر أسود اللون ذكي جداً يرتبط في بعض الثقافات بالتشاؤم؟,غراب
غ,مساحة شاسعة مليئة بالأشجار الكثيفة والحيوانات البرية المتنوعة؟,غابة
غ,حالة المادة التي ليس لها شكل ثابت وتنتشر في المكان كالهواء؟,غاز
غ,مركبة بحرية عسكرية مصممة للغوص والعمل تحت سطح الماء لفترات طويلة؟,غواصة
غ,زعيم هندي تاريخي قاد المقاومة السلمية ضد الاحتلال البريطاني لبلاده؟,غاندي
غ,ذرات التراب الدقيقة والخفيفة التي تتطاير في الهواء مع قوة الرياح؟,غبار
غ,حيوان بري رشيق وجميل ذو عيون واسعة تغنى به الشعراء العرب كثيراً؟,غزال

غ,الشيء الذي يوضع فوق الأوعية والأشياء لحمايتها أو إغلاقها بإحكام؟,غطاء
غ,مادة سائلة لزجة تستخدم للصق الورق والأشياء ببعضها بقوة؟,غراء
غ,المساحة المغلقة بجدران داخل المنزل وتستخدم للنوم أو الجلوس والاستقبال؟,غرفة
غ,النزول والسباحة تحت سطح الماء للبحث أو الاستكشاف أو الترفيه يسمى؟,غوص
غ,انفعال شديد وحالة نفسية ناتجة عن الانزعاج أو التعرض للأذى تسمى؟,غضب
غ,الجزء الخشبي المتفرع من جذع الشجرة الأساسي ويحمل الأوراق والثمار؟,غصن
غ,ما يأكله الإنسان والحيوان ليستمد منه الطاقة للبقاء على قيد الحياة؟,غذاء
ف,مخالفة يرتكبها اللاعب ضد الخصم وتمنح الفريق الآخر ركلة حرة تسمى؟,فاول
ف,الاتحاد الدولي لكرة القدم المسؤول عن تنظيم اللعبة في العالم يختصر بـ؟,فيفا
ف,دولة أوروبية كبرى فازت بكأس العالم عامي 1998 و2018 عاصمتها باريس؟,فرنسا
ف,حيوان بري ضخم يتميز بخرطوم طويل وأنياب من العاج الثمين؟,فيل
ف,حشرة جميلة تتميز بأجنحتها الملونة الكبيرة وتنتقل بين رحيق الأزهار؟,فراشة
ف,المكان الشاسع المظلم والفارغ الذي تسبح فيه الكواكب والنجوم والمجرات؟,فضاء
ف,مادة صلبة سوداء تستخرج من باطن الأرض وتستخدم كوقود للاحتراق للتدفئة؟,فحم
ف,العضو الذي يستخدمه الإنسان للأكل والكلام ويحوي الأسنان واللسان؟,فم
ف,أداة تتكون من مقبض خشبي ورأس حديدي قاطع تستخدم لتكسير الحطب؟,فأس
ف,تقنية الفيديو المساعدة للحكم في كرة القدم لمراجعة اللقطات تسمى؟,فار
